run_name,experiment,attention_type,n_heads,seed,checkpoint_kind,checkpoint_path,BLEU,chrF,chrF++,COMET,wall_time_seconds,peak_gpu_memory_mib,num_parameters
fast_dot_s1,fast_dot,dot_product,4,1,best,/root/autodl-tmp/runs/fast_dot_s1/best.pt,16.27755073167496,37.75464625636433,36.13274834172182,0.5067629693210125,721.4895406048745,10374.9970703125,30442800
fast_dot_s2,fast_dot,dot_product,4,2,best,/root/autodl-tmp/runs/fast_dot_s2/best.pt,15.243098254602273,36.69346656550205,35.12084196151532,0.5072731954693794,725.3529363507405,10374.9970703125,30442800
fast_dot_s3,fast_dot,dot_product,4,3,best,/root/autodl-tmp/runs/fast_dot_s3/best.pt,15.8884560205611,37.80251157088069,36.1153549930606,0.5126202752172947,709.8274843450636,10374.7158203125,30442800
fast_add_s1,fast_add,additive,4,1,best,/root/autodl-tmp/runs/fast_add_s1/best.pt,7.7623095148713634,25.868728151761427,24.48966397535564,0.44794571356773377,1974.3825933430344,51823.6806640625,30845232
fast_add_s2,fast_add,additive,4,2,best,/root/autodl-tmp/runs/fast_add_s2/best.pt,7.846808746410006,26.540426262725703,24.905376769927237,0.4522346744120121,1911.3015885651112,51823.6806640625,30845232
fast_add_s3,fast_add,additive,4,3,best,/root/autodl-tmp/runs/fast_add_s3/best.pt,9.00799750430904,28.64088801186046,26.913589234420794,0.46235767346024514,1945.7937508979812,51823.86865234375,30845232
var_bilinear_s1,var_bilinear,bilinear,4,1,best,/root/autodl-tmp/runs/var_bilinear_s1/best.pt,14.98972333342934,36.890520868914436,35.21150914079465,0.5048346942663193,704.6939423717558,10485.77978515625,30639408
var_bilinear_s2,var_bilinear,bilinear,4,2,best,/root/autodl-tmp/runs/var_bilinear_s2/best.pt,12.816230059958679,33.14347281255824,31.67817311243663,0.48915245040655136,727.8985655233264,10485.32470703125,30639408
var_bilinear_s3,var_bilinear,bilinear,4,3,best,/root/autodl-tmp/runs/var_bilinear_s3/best.pt,15.374874861183157,37.33452563363182,35.70720227045054,0.500858239108324,730.8589670993388,10486.88134765625,30639408
var_gated_dot_additive_s1,var_gated_dot_additive,gated_dot_additive,4,1,best,/root/autodl-tmp/runs/var_gated_dot_additive_s1/best.pt,14.462743937720308,35.811235175548475,34.208319124117395,0.5004402768313885,2010.1802374236286,52348.083984375,30845280
var_gated_dot_additive_s2,var_gated_dot_additive,gated_dot_additive,4,2,best,/root/autodl-tmp/runs/var_gated_dot_additive_s2/best.pt,15.075584391994312,36.83646299279278,35.181263604977815,0.5092633018791676,2017.771683588624,52347.86181640625,30845280
var_gated_dot_additive_s3,var_gated_dot_additive,gated_dot_additive,4,3,best,/root/autodl-tmp/runs/var_gated_dot_additive_s3/best.pt,15.790775876544672,37.87141996928655,36.18080644881176,0.5102271731436253,1996.1538966111839,52347.68212890625,30845280
var_entmax15_s1,var_entmax15,entmax15,4,1,best,/root/autodl-tmp/runs/var_entmax15_s1/best.pt,13.907419851709138,35.23889438978338,33.6616401046659,0.4984257672786713,8623.725158967078,10378.6015625,30442800
var_entmax15_s2,var_entmax15,entmax15,4,2,best,/root/autodl-tmp/runs/var_entmax15_s2/best.pt,12.84524522321244,33.45130035112926,31.93567839506855,0.48895547546744345,8972.8993980214,10377.8359375,30442800
var_entmax15_s3,var_entmax15,entmax15,4,3,best,/root/autodl-tmp/runs/var_entmax15_s3/best.pt,14.357167596494133,35.51536341982711,33.86818519633695,0.494661227363348,8649.612567747012,10379.0703125,30442800
fast_add_lr3e3_s1,fast_add_lr3e3,additive,4,1,best,/root/autodl-tmp/runs/fast_add_lr3e3_s1/best.pt,21.88070162614213,45.09199041339239,43.09400931636172,0.5734998296558858,1831.2273128852248,51824.154296875,30845232
fast_add_lr3e3_s2,fast_add_lr3e3,additive,4,2,best,/root/autodl-tmp/runs/fast_add_lr3e3_s2/best.pt,21.723361128228106,44.7931696222831,42.80406660576032,0.5845706348121166,1796.9894686248153,51824.107421875,30845232
fast_add_lr3e3_s3,fast_add_lr3e3,additive,4,3,best,/root/autodl-tmp/runs/fast_add_lr3e3_s3/best.pt,21.090847128615547,44.178725249633786,42.19391525771166,0.5746511001765728,1829.849477974698,51824.107421875,30845232
