12 July 2001 FINAL A5-0263/2001	12 juillet 2001 FINAL A5-0263/2001
on the Commission communication on accelerated action targeted at major communicable diseases within the context of poverty reduction	sur la communication de la Commission au Conseil et au Parlement européen sur l'accélération de la lutte contre les principales maladies transmissibles dans le cadre de la réduction de la pauvreté
Committee on Development and Cooperation	Commission du développement et de la coopération
Bashir Khanbhai	Bashir Khanbhai
286.865 CONTENTS	286.865 SOMMAIRE
PROCEDURAL PAGE	PAGE RÉGLEMENTAIRE
MOTION FOR A RESOLUTION	PROPOSITION DE RÉSOLUTION
EXPLANATORY STATEMENT	EXPOSÉ DES MOTIFS
OPINION of the Committee on Industry, External Trade, Research and Energy	AVIS DE LA COMMISSION DE L'INDUSTRIE, DU COMMERCE EXTÉRIEUR,
PROCEDURAL PAGE	PAGE RÉGLEMENTAIRE
By letter of 21 September 2000, the Commission forwarded to Parliament a communication on accelerated action targeted at major communicable diseases within the context of poverty reduction ( COM(2000) 585 – 2001/2006(COS)).	Par lettre du 21 septembre 2000, la Commission a transmis au Parlement sa communication sur l'accélération de la lutte contre les principales maladies transmissibles dans le cadre de la réduction de la pauvreté ( COM(2001) 585 – 2001/2006(COS)).
At the sitting of 18 January 2001 the President of Parliament announced that she had referred the communication to the Committee on Development and Cooperation as the committee responsible and the Committee on Foreign Affairs, Human Rights, Common Security and Defence Policy, the Committee on Industry, External Trade, Research and Energy, the Committee on the Environment, Public Health and Consumer Policy and the Committee on Women's Rights and Equal Opportunities for their opinions ( C5‑0014/2001 ).	Au cours de la séance du 18 janvier 2001, la Présidente du Parlement a annoncé qu'elle avait renvoyé cette communication, pour examen au fond, à la commission du développement et de la coopération et, pour avis, à la commission des affaires étrangères, des droits de l'homme, de la sécurité commune et de la politique de défense, à la commission de l'industrie, du commerce extérieur, de la recherche et de l'énergie, à la commission de l'environnement, de la santé publique et de la politique des consommateurs ainsi qu'à la commission des droits de la femme et de l'égalité des chances( C5‑0014/2001 ).
At the sitting of 15 February 2001, the President of Parliament announced that she had referred the communication also to the Committee on Budgets for an opinion.	Au cours de la séance du 15 février 2001, la Présidente du Parlement a annoncé qu'elle avait également renvoyé cette communication pour avis à la commission des budgets.
The Committee on Development and Cooperation appointed Bashir Khanbhai rapporteur at its meeting of 5 February 2001.	Au cours de sa réunion du 5 février 2001, la commission du développement et de la coopération avait nommé Bashir Khanbhai rapporteur.
By letter of 23 February 2001, the Commission forwarded to Parliament a communication on a Programme for Action: Accelerated action on HIV/AIDS, malaria and tuberculosis in the context of poverty reduction ( COM(2001) 96 - 2001/2006 (COS)).	Par lettre du 23 février 2001, la Commission a transmis au Parlement sa communication sur un programme d'action: Accélération de la lutte contre le VIH/SIDA, le paludisme et la tuberculose dans le cadre de la réduction de la pauvreté ( COM(2001) 96 – 2001/2006(COS)).
At the sitting of 15 March 2001, the President of Parliament announced that she had referred the communication to the Committee on Development and Cooperation as the committee responsible and the Committee on Foreign Affairs, Human Rights, Common Security and Defence Policy, Committee on Budgets, the Committee on Industry, External Trade, Research and Energy, Committee on the Environment, Public Health and Consumer Policy and the Committee on Women's Rights and Equal Opportunities for their opinions ( C5‑0112/2001 ).	Au cours de la séance du 15 mars 2001, la Présidente du Parlement a annoncé qu'elle avait renvoyé cette communication, pour examen au fond, à la commission du développement et de la coopération et, pour avis, à la commission des affaires étrangères, des droits de l'homme, de la sécurité commune et de la politique de défense, à la commission des budgets, à la commission de l'industrie, du commerce extérieur, de la recherche et de l'énergie, à la commission de l'environnement, de la santé publique et de la politique des consommateurs ainsi qu'à la commission des droits de la femme et de l'égalité des chances( C5‑0112/2001 ).
The committee considered the Commission communications and the draft report at its meetings of 14 May 2001 and 25 June 2001.	Au cours de ses réunions du 14 mai 2001 et du 25 juin 2001, la commission a examiné les communications de la Commission ainsi que le projet de rapport.
It adopted the motion for a resolution unanimously at its meeting of 10 July 2001	Au cours de sa réunion du 10 juillet 2001, elle a adopté la proposition de résolution à l'unanimité.
